Name,Description,Easting,Northing,UTM zone,UTM coordinates
720,,381531,5813676,32U,32U 381531 5813676
720A,,381515,5813661,32U,32U 381515 5813661
721,,381571,5813700,32U,32U 381571 5813700
721A,,381553,5813689,32U,32U 381553 5813689
722,,381597,5813716,32U,32U 381597 5813716
723,,381628,5813728,32U,32U 381628 5813728
724,,381644,5813746,32U,32U 381644 5813746
725,,381693,5813779,32U,32U 381693 5813779
73,,381380,5813281,32U,32U 381380 5813281
75,,381376,5813249,32U,32U 381376 5813249
77,,381378,5813219,32U,32U 381378 5813219
79,,381379,5813180,32U,32U 381379 5813180
8,,381005,5813348,32U,32U 381005 5813348
81,,381376,5813134,32U,32U 381376 5813134
85,,381380,5812516,32U,32U 381380 5812516
906,,380633,5811438,32U,32U 380633 5811438
907,,380714,5811458,32U,32U 380714 5811458
908,,380797,5811480,32U,32U 380797 5811480
91,,381380,5812541,32U,32U 381380 5812541
916,,380599,5811589,32U,32U 380599 5811589
917,,380680,5811600,32U,32U 380680 5811600
918,,380760,5811614,32U,32U 380760 5811614
922,,380652,5811694,32U,32U 380652 5811694
923,,380728,5811709,32U,32U 380728 5811709
925,,380482,5811715,32U,32U 380482 5811715
93,,381384,5812579,32U,32U 381384 5812579
931,,380543,5811833,32U,32U 380543 5811833
932KASTGR,,380601,5811843,32U,32U 380601 5811843
933,,380687,5811884,32U,32U 380687 5811884
936,,380515,5811901,32U,32U 380515 5811901
941,,380501,5811967,32U,32U 380501 5811967
942,,380578,5811995,32U,32U 380578 5811995
943,,380645,5812028,32U,32U 380645 5812028
946,,380485,5812052,32U,32U 380485 5812052
948,,380625,5812111,32U,32U 380625 5812111
951,,380461,5812130,32U,32U 380461 5812130
952,,380541,5812152,32U,32U 380541 5812152
953,,380604,5812182,32U,32U 380604 5812182
E,,381044,5812954,32U,32U 381044 5812954
E1,,381040,5812923,32U,32U 381040 5812923
F,,381041,5812894,32U,32U 381041 5812894
F1,,381042,5812845,32U,32U 381042 5812845
F2,,381042,5812804,32U,32U 381042 5812804
G,,381041,5812778,32U,32U 381041 5812778
G1,,381043,5812746,32U,32U 381043 5812746
H,,381046,5812723,32U,32U 381046 5812723
H1,,381045,5812700,32U,32U 381045 5812700
J,,381042,5812668,32U,32U 381042 5812668
J1,,381042,5812637,32U,32U 381042 5812637
KAST,,381367,5811836,32U,32U 381367 5811836
KAST,,380971,5811881,32U,32U 380971 5811881
416,,380358,5812485,32U,32U 380358 5812485
417,,380371,5812491,32U,32U 380371 5812491
418,,380397,5812501,32U,32U 380397 5812501
419,,380424,5812508,32U,32U 380424 5812508
420,,380450,5812517,32U,32U 380450 5812517
421,,380480,5812530,32U,32U 380480 5812530
Boxnr?,,380524,5812590,32U,32U 380524 5812590
194,,380540,5812697,32U,32U 380540 5812697
192,,380551,5812708,32U,32U 380551 5812708
188,,380587,5812724,32U,32U 380587 5812724
Boxnr?,,380588,5812770,32U,32U 380588 5812770
216,,380584,5813004,32U,32U 380584 5813004
217,,380585,5812978,32U,32U 380585 5812978
102,,380619,5812942,32U,32U 380619 5812942
92,,380675,5813062,32U,32U 380675 5813062
94,,380672,5813035,32U,32U 380672 5813035
96,,380677,5813002,32U,32U 380677 5813002
98,,380674,5812974,32U,32U 380674 5812974
KAST,,381758,5812607,32U,32U 381758 5812607
KAST,,381783,5812614,32U,32U 381783 5812614
KAST,,381842,5812634,32U,32U 381842 5812634
KAST,,381891,5812651,32U,32U 381891 5812651
KAST,,382239,5812697,32U,32U 382239 5812697
KAST,,382266,5812700,32U,32U 382266 5812700
KAST,,382353,5812700,32U,32U 382353 5812700
KAST,,381423,5811657,32U,32U 381423 5811657
KASTGR,,381409,5811713,32U,32U 381409 5811713
104,,380606,5812936,32U,32U 380606 5812936
190,,380570,5812714,32U,32U 380570 5812714
